SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
NIFTY SMALLCAP 500,"20,881.45","20,899.85","20,775.05","20,858.40","20,891.45",-,33.05,0.16,1159874996,"31,314.82","20,977.95","15,960.20",2.54,0.0
HINDCOPPER,535.00,574.90,534.10,529.05,569.95,-,40.9,7.73,29333771,"1,647.91",760.05,226.70,17.24,137.29
CUPID,294.51,295.35,235.11,293.88,270.90,-,-22.98,-7.82,59146915,"1,600.22",299.00,32.87,26.13,706.73
MANORAMA,"1,775.00","2,043.00","1,745.50","1,737.10","1,955.00",-,217.9,12.54,7248199,"1,371.37","2,043.00","1,060.60",22.84,42.04
PWL,114.65,128.37,114.00,117.12,117.99,-,0.87,0.74,103684614,"1,282.47",161.99,77.72,-13.27,0.0
VIKRAMSOLR,163.00,186.50,161.47,160.15,182.80,-,22.65,14.14,65091295,"1,169.30",407.95,155.38,-4.9,0.0
AZAD,"2,750.00","2,986.60","2,703.00","2,717.80","2,874.00",-,156.2,5.75,2721054,788.47,"2,986.60","1,360.00",23.36,85.32
NETWEB,"5,022.00","5,225.00","5,008.30","5,007.20","5,219.00",-,211.8,4.23,1438746,743.65,"5,269.00","2,037.30",22.96,145.6
RUBICON,"1,700.70","1,808.00","1,626.10","1,619.10","1,804.00",-,184.9,11.42,3473690,600.75,"1,808.00",570.75,25.31,0.0
ZEEL,102.44,107.20,101.01,102.28,105.00,-,2.72,2.66,56021626,585.48,124.14,68.00,-2.23,-9.68
PTCIL,"19,319.00","20,750.00","19,067.00","19,050.00","20,400.00",-,1350.0,7.09,284135,572.29,"20,750.00","13,251.00",13.71,48.57
PURVA,234.01,245.90,224.00,218.21,227.50,-,9.29,4.26,23015575,545.47,305.00,160.69,2.36,-20.63
MARKSANS,337.30,345.50,325.45,333.00,330.50,-,-2.5,-0.75,13018565,435.63,345.50,155.00,23.74,85.07
BELRISE,247.77,247.77,232.31,255.35,236.90,-,-18.45,-7.23,17255848,410.74,268.20,134.02,4.4,76.12
AMBER,"7,355.50","7,394.00","7,246.50","7,222.00","7,259.00",-,37.0,0.51,535613,391.59,"8,974.00","5,400.50",-6.99,5.28
TDPOWERSYS,"1,470.00","1,569.80","1,467.10","1,484.60","1,549.00",-,64.4,4.34,2464279,378.58,"1,569.80",493.00,37.36,204.59
ATHERENERG,"1,511.50","1,533.00","1,475.00","1,511.50","1,483.00",-,-28.5,-1.89,2475472,371.57,"1,580.00",407.70,15.66,256.11
FINCABLES,"1,252.10","1,327.75","1,252.10","1,246.85","1,318.00",-,71.15,5.71,2336079,304.90,"1,374.00",700.80,29.56,62.26
CHENNPETRO,"1,332.10","1,397.30","1,309.10","1,321.90","1,382.00",-,60.1,4.55,2149658,293.36,"1,449.00",620.85,15.11,118.2
SCHNEIDER,"1,219.00","1,255.00","1,185.00","1,369.20","1,232.20",-,-137.0,-10.01,2282209,277.32,"1,548.00",571.85,-3.62,41.47
INOXWIND,74.18,78.59,73.32,73.67,78.13,-,4.46,6.05,34043653,262.20,159.30,72.70,0.01,-42.98
IFCI,77.09,79.73,75.75,76.94,78.97,-,2.03,2.64,32161222,252.21,95.80,46.23,9.42,49.56
HSCL,784.50,789.90,776.45,781.05,784.00,-,2.95,0.38,3215825,251.70,819.50,418.50,5.72,68.01
BALUFORGE,502.70,531.40,502.70,493.75,512.70,-,18.95,3.84,4666822,242.90,697.00,341.05,14.2,-15.61
KAYNES,"3,679.10","3,730.00","3,630.10","3,660.20","3,651.00",-,-9.2,-0.25,641033,236.05,"7,705.00","2,995.00",7.83,-40.31
NEULANDLAB,"23,300.00","23,843.00","22,971.00","23,320.00","23,650.00",-,330.0,1.42,93991,221.93,"23,843.00","11,500.00",28.3,78.11
HFCL,223.90,225.95,217.85,223.11,219.00,-,-4.11,-1.84,9863534,218.53,230.95,59.82,2.73,208.06
CPPLUS,"3,351.10","3,424.40","3,343.10","3,519.00","3,343.10",-,-175.9,-5.0,640466,214.84,"4,094.00","1,046.65",-7.51,216.27
KFINTECH,945.20,981.05,925.70,940.00,973.00,-,33.0,3.51,2105146,202.75,"1,215.00",784.95,9.58,-13.81
ZAGGLE,182.40,185.00,160.48,200.59,160.48,-,-40.11,-20.0,12084279,197.43,417.60,160.48,-23.44,-56.3
SONACOMS,799.00,814.30,795.75,792.00,805.10,-,13.1,1.65,2346950,189.52,836.90,402.30,14.22,78.18
AVALON,"1,950.30","2,081.00","1,948.00","1,940.80","2,076.00",-,135.2,6.97,923261,187.96,"2,081.00",777.30,20.42,147.81
MRPL,171.00,177.77,170.25,170.54,177.00,-,6.46,3.79,10348625,180.35,212.31,120.45,1.44,43.2
WELSPUNLIV,165.05,169.95,164.90,164.06,168.28,-,4.22,2.57,10735012,180.10,178.00,107.10,2.36,47.68
DATAPATTNS,"4,469.00","4,560.00","4,460.60","4,455.80","4,535.00",-,79.2,1.78,382048,172.44,"4,955.90","2,131.00",10.99,80.14
OLAELEC,38.73,40.07,38.30,38.73,39.14,-,0.41,1.06,39919495,156.72,71.25,22.25,-2.56,-5.25
APOLLO,393.80,397.90,386.05,393.55,387.70,-,-5.85,-1.49,3979390,155.45,466.50,179.50,-2.54,104.16
